0,"avatar Action Adventure Fantasy Science Fiction James Cameron culture clash future space war space colony society In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Enter the World of Pandora."
1,"pirates of the caribbean: at world's end Adventure Fantasy Action Gore Verbinski ocean drug abuse exotic island east india trading company love of one's life Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. At the end of the world, the adventure begins."
2,"spectre Action Adventure Crime Sam Mendes spy based on novel secret agent sequel mi6 A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. A Plan No One Escapes"
3,"the dark knight rises Action Crime Drama Thriller Christopher Nolan dc comics crime fighter terrorist secret identity burglar Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. The Legend Ends"
4,"john carter Action Adventure Science Fiction Andrew Stanton based on novel mars medallion space travel princess John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Lost in our world, found in another."
5,"spider-man 3 Fantasy Action Adventure Sam Raimi dual identity amnesia sandstorm love of one's life forgiveness The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. The battle within."
6,"tangled Animation Family Byron Howard hostage magic horse fairy tale musical When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. They're taking adventure to new lengths."
7,"avengers: age of ultron Action Adventure Science Fiction Joss Whedon marvel comic sequel superhero based on comic book vision When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. A New Age Has Come."
8,"harry potter and the half-blood prince Adventure Fantasy Family David Yates witch magic broom school of witchcraft wizardry As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. Dark Secrets Revealed"
9,"batman v superman: dawn of justice Action Adventure Fantasy Zack Snyder dc comics vigilante superhero based on comic book revenge Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Justice or revenge"
10,"superman returns Adventure Fantasy Action Science Fiction Bryan Singer saving the world dc comics invulnerability sequel superhero Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. "
11,"quantum of solace Adventure Action Thriller Crime Marc Forster killing undercover secret agent british secret service Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. For love, for hate, for justice, for revenge."
12,"pirates of the caribbean: dead man's chest Adventure Fantasy Action Gore Verbinski witch fortune teller bondage exotic island monster Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. Jack is back!"
13,"the lone ranger Action Adventure Western Gore Verbinski texas horse survivor texas ranger partner The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Never Take Off the Mask"
14,"man of steel Action Adventure Fantasy Science Fiction Zack Snyder saving the world dc comics superhero based on comic book superhuman A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. You will believe that a man can fly."
15,"the chronicles of narnia: prince caspian Adventure Family Fantasy Andrew Adamson based on novel fictional place brother sister relationship lion human being One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. Hope has a new face."
16,"the avengers Science Fiction Action Adventure Joss Whedon new york shield marvel comic superhero based on comic book When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Some assembly required."
17,"pirates of the caribbean: on stranger tides Adventure Action Fantasy Rob Marshall sea captain mutiny sword prime minister Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Live Forever Or Die Trying."
18,"men in black 3 Action Comedy Science Fiction Barry Sonnenfeld time travel time machine alien fictional government agency seeing the future Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. They are back... in time."
19,"the hobbit: the battle of the five armies Action Adventure Fantasy Peter Jackson corruption elves dwarves orcs middle-earth (tolkien) Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. Witness the defining chapter of the Middle-Earth saga"
20,"the amazing spider-man Action Adventure Fantasy Marc Webb loss of father vigilante serum marvel comic scientific experiment Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero. The untold story begins."
21,"robin hood Action Adventure Ridley Scott robin hood archer knight sherwood forest bow and arrow When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey. Rise and rise again, until lambs become lions."
22,"the hobbit: the desolation of smaug Adventure Fantasy Peter Jackson elves dwarves orcs hobbit dragon The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug. Beyond darkness... beyond desolation... lies the greatest danger of all."
23,"the golden compass Adventure Fantasy Chris Weitz england compass experiment lordship uncle After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny. There are worlds beyond our own - the compass will show the way."
24,"king kong Adventure Drama Action Peter Jackson film business screenplay show business film making film producer In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady. The eighth wonder of the world."
25,"titanic Drama Romance Thriller James Cameron shipwreck iceberg ship panic titanic 84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. Nothing on Earth could come between them."
26,"captain america: civil war Adventure Action Science Fiction Anthony Russo civil war war marvel comic sequel superhero Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies. Divided We Fall"
27,"battleship Thriller Action Adventure Science Fiction Peter Berg fight u.s. navy mind reading hong kong soccer When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him. The Battle for Earth Begins at Sea"
28,"jurassic world Action Adventure Science Fiction Thriller Colin Trevorrow monster dna tyrannosaurus rex velociraptor island Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond. The park is open."
29,"skyfall Action Adventure Thriller Sam Mendes spy secret agent sociopath killer art gallery When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves. Think on your sins."
30,"spider-man 2 Action Adventure Fantasy Sam Raimi dual identity love of one's life pizza boy marvel comic sequel Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. There's a hero in all of us."
